,CreditScore,Geography,Gender,Age,Balance,Exited
0,619,France,Female,42,0.0,1
1,608,Spain,Female,41,83807.86,0
2,502,France,Female,42,159660.8,1
3,699,France,Female,39,0.0,0
4,850,Spain,Female,43,125510.82,0
5,645,Spain,Male,44,113755.78,1
6,822,France,Male,50,0.0,0
7,376,Germany,Female,29,115046.74,1
8,501,France,Male,44,142051.07,0
9,684,France,Male,27,134603.88,0
10,528,France,Male,31,102016.72,0
11,497,Spain,Male,24,0.0,0
12,476,France,Female,34,0.0,0
13,549,France,Female,25,0.0,0
14,635,Spain,Female,35,0.0,0
15,616,Germany,Male,45,143129.41,0
16,653,Germany,Male,58,132602.88,1
17,549,Spain,Female,24,0.0,0
18,587,Spain,Male,45,0.0,0
19,726,France,Female,24,0.0,0
20,732,France,Male,41,0.0,0
21,636,Spain,Female,32,0.0,0
22,510,Spain,Female,38,0.0,1
23,669,France,Male,46,0.0,0
24,846,France,Female,38,0.0,0
25,577,France,Male,25,0.0,0
26,756,Germany,Male,36,136815.64,0
27,571,France,Male,44,0.0,0
28,574,Germany,Female,43,141349.43,0
29,411,France,Male,29,59697.17,0
30,591,Spain,Female,39,0.0,1
31,533,France,Male,36,85311.7,0
32,553,Germany,Male,41,110112.54,0
33,520,Spain,Female,42,0.0,0
34,722,Spain,Female,29,0.0,0
35,475,France,Female,45,134264.04,1
36,490,Spain,Male,31,145260.23,0
37,804,Spain,Male,33,76548.6,0
38,850,France,Male,36,0.0,0
39,582,Germany,Male,41,70349.48,0
40,472,Spain,Male,40,0.0,0
41,465,France,Female,51,122522.32,1
42,556,France,Female,61,117419.35,0
43,834,France,Female,49,131394.56,1
44,660,Spain,Female,61,155931.11,0
45,776,Germany,Female,32,109421.13,0
46,829,Germany,Female,27,112045.67,1
47,637,Germany,Female,39,137843.8,1
48,550,Germany,Male,38,103391.38,0
49,776,Germany,Female,37,103769.22,0
50,698,Germany,Male,44,116363.37,0
51,585,Germany,Male,36,146050.97,0
52,788,France,Female,33,0.0,0
53,655,Germany,Male,41,125561.97,1
54,601,Germany,Male,42,98495.72,1
55,619,France,Male,43,125211.92,0
56,656,France,Male,45,127864.4,0
57,725,Germany,Male,19,75888.2,0
58,511,Spain,Female,66,0.0,1
59,614,France,Male,51,40685.92,0
60,742,Germany,Male,35,136857.0,0
61,687,Germany,Female,27,152328.88,0
62,555,Spain,Male,33,56084.69,0
63,684,Spain,Male,56,78707.16,0
64,603,Germany,Male,26,109166.37,0
65,751,Germany,Female,36,169831.46,0
66,581,Germany,Female,34,101633.04,0
67,735,Germany,Male,43,123180.01,0
68,661,Germany,Female,35,150725.53,0
69,675,France,Female,21,98373.26,0
70,738,Germany,Male,58,133745.44,1
71,813,France,Male,29,0.0,0
72,657,Spain,Female,37,163607.18,0
73,604,Germany,Female,25,157780.84,0
74,519,France,Male,36,0.0,0
75,735,France,Female,21,178718.19,0
76,664,France,Male,55,0.0,0
77,678,France,Female,32,0.0,0
78,757,Spain,Male,33,77253.22,0
79,416,Germany,Female,41,122189.66,0
80,665,France,Female,34,96645.54,0
81,777,France,Female,32,0.0,1
82,543,France,Female,36,0.0,0
83,506,France,Female,34,90307.62,0
84,493,France,Female,46,0.0,0
85,652,Spain,Female,75,0.0,0
86,750,Spain,Male,22,121681.82,1
87,729,France,Male,30,0.0,0
88,646,France,Female,46,0.0,1
89,635,Germany,Female,28,81623.67,0
90,647,Spain,Female,44,0.0,1
91,808,France,Male,45,118626.55,0
92,524,France,Female,36,0.0,0
93,769,France,Male,29,0.0,0
94,730,Spain,Male,42,0.0,0
95,515,Spain,Male,35,176273.95,0
96,773,Spain,Male,41,102827.44,0
97,814,Germany,Male,29,97086.4,0
98,710,Spain,Male,22,0.0,0
99,413,France,Male,34,0.0,0
100,665,France,Female,40,0.0,0
101,623,France,Female,44,0.0,0
102,738,France,Male,31,82674.15,0
103,528,Spain,Male,36,0.0,0
104,670,Spain,Female,65,0.0,1
105,622,Spain,Female,46,107073.27,1
106,582,Germany,Male,32,88938.62,0
107,785,Germany,Female,36,99806.85,0
108,605,Spain,Male,33,150092.8,0
109,479,Germany,Male,35,92833.89,1
110,685,Germany,Male,30,90536.81,0
111,538,Germany,Male,39,108055.1,0
112,562,France,Male,42,100238.35,0
113,675,Spain,Male,36,106190.55,0
114,721,Germany,Male,28,154475.54,1
115,628,Germany,Female,30,132351.29,0
116,668,Germany,Female,37,167864.4,0
117,506,France,Female,41,0.0,0
118,524,Germany,Female,31,107818.63,1
119,699,Germany,Male,34,185173.81,0
120,828,France,Male,34,129433.34,0
121,674,Spain,Male,39,120193.42,0
122,656,France,Female,39,0.0,0
123,684,Germany,Female,48,126384.42,0
124,625,France,Female,28,0.0,0
125,432,France,Male,42,152603.45,1
126,549,France,Female,52,0.0,1
127,625,Germany,Male,56,148507.24,1
128,828,France,Female,41,0.0,0
129,770,France,Male,24,101827.07,0
130,758,France,Female,34,0.0,0
131,795,Germany,Female,33,130862.43,0
132,687,France,Male,38,122570.87,0
133,686,France,Male,25,0.0,0
134,789,Germany,Male,39,124828.46,0
135,589,Germany,Female,50,144895.05,0
136,461,Germany,Female,34,63663.93,0
137,637,France,Male,40,133463.1,0
138,584,Spain,Female,48,213146.2,1
139,579,Spain,Female,35,129490.36,1
140,756,Germany,Male,44,137452.09,0
141,663,France,Male,34,0.0,0
142,682,France,Female,43,125851.93,0
143,793,Spain,Male,52,0.0,1
144,691,France,Female,31,40915.55,1
145,485,Spain,Female,21,113157.22,0
146,635,Spain,Female,29,138296.94,0
147,650,France,Male,37,106967.18,0
148,735,France,Male,44,120681.63,0
149,416,France,Male,32,0.0,0
150,754,Spain,Female,32,0.0,0
151,535,France,Female,48,0.0,1
152,716,Spain,Male,42,0.0,0
153,539,France,Male,37,127609.59,0
154,614,France,Female,43,0.0,0
155,706,Spain,Male,57,0.0,1
156,758,France,Female,33,0.0,0
157,586,Spain,Female,28,0.0,0
158,646,France,Female,73,97259.25,0
159,631,Germany,Female,33,123246.7,0
160,717,Spain,Female,22,101060.25,0
161,684,France,Male,30,0.0,0
162,800,France,Female,49,108007.36,0
163,721,Spain,Female,36,0.0,0
164,683,Spain,Male,29,133702.89,1
165,660,Germany,Male,31,125189.75,0
166,704,Germany,Female,24,113034.22,1
167,615,Spain,Female,41,109013.23,0
168,667,Spain,Female,39,0.0,1
169,682,Germany,Male,24,57929.81,0
170,484,France,Female,29,130114.39,0
171,628,Germany,Male,27,95826.49,0
172,480,Germany,Male,44,129608.57,1
173,578,France,Male,30,169462.09,0
174,512,France,Male,40,0.0,0
175,484,Spain,Female,35,133868.21,0
176,510,France,Female,30,0.0,0
177,606,Germany,Male,36,190479.48,0
178,597,Spain,Female,40,101993.12,0
179,754,Germany,Female,55,161608.81,1
180,850,Spain,Female,45,122311.21,0
181,510,France,Male,65,0.0,0
182,778,Germany,Female,45,162150.42,0
183,636,France,Male,42,0.0,0
184,804,France,Female,50,0.0,1
185,514,France,Male,32,0.0,0
186,730,France,Female,39,99010.67,0
187,525,Spain,Female,37,0.0,0
188,616,Spain,Male,30,0.0,0
