Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch),Model B,Release Date B,Release Year B,Model ID B,Company_ID B,Old_ID C,Company C,Company_real C,New_ID C
Psion Organiser II LZ 64,1989/1/1,1989,1,0,0,0,0.050359712,0,0,0.369713506,0.118852459,0.146889031,0.059332377,0.044181034,0,Psion Organiser II LZ 64,1989/1/1,1989,1,144,144,Psion,Zebra Technologies,152
Hewlett-Packard 95LX (HP Jaguar),1991/4/1,1991.25,2,0.00021363,0.0000154,0.002230017,0.223021583,0.056910569,0.047619048,0.416098226,0.147540984,0.127645927,0.065798771,0.05387931,0.030792529,Hewlett-Packard 95LX (HP Jaguar),1991/4/1,1991.25,2,77,77,Hewlett-Packard,Hewlett-Packard,58
Psion Series 3,1991/6/1,1991.416667,3,0.0000916,0.0000154,0.001894864,0.18705036,0.056910569,0.023809524,0.432469304,0.147540984,0.101988454,0.056634477,0.044181034,0.035335689,Psion Series 3,1991/6/1,1991.416667,3,144,144,Psion,Zebra Technologies,152
Hewlett-Packard 95LX 1MB RAM (HP Jaguar),1992/1/1,1992,4,0.000457778,0.0000154,0.002230017,0.223021583,0.056910569,0.047619048,0.416098226,0.147540984,0.127645927,0.065798771,0.05387931,0.030792529,Hewlett-Packard 95LX 1MB RAM (HP Jaguar),1992/1/1,1992,4,77,77,Hewlett-Packard,Hewlett-Packard,58
Psion Series 3a,1993/3/1,1993.166667,5,0.00021363,0.0000154,0.003385544,0.258992806,0.154471545,0.063492063,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207,0.129984856,Psion Series 3a,1993/3/1,1993.166667,5,144,144,Psion,Zebra Technologies,152
Hewlett-Packard 1000CX,1993/5/1,1993.333333,6,0.000457778,0.0000154,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421,Hewlett-Packard 1000CX,1993/5/1,1993.333333,6,77,77,Hewlett-Packard,Hewlett-Packard,58
Hewlett-Packard 100LX (HP Cougar),1993/5/1,1993.333333,7,0.000457778,0.0000154,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421,Hewlett-Packard 100LX (HP Cougar),1993/5/1,1993.333333,7,77,77,Hewlett-Packard,Hewlett-Packard,58
Apple Newton H1000 (Apple OMP),1993/8/1,1993.583333,8,0.000274667,0.0000645,0.009548354,0.251798561,0.056910569,0.150793651,0.294133697,0.554098361,0.083386786,0.076654605,0.075431034,0.08859162,Apple Newton H1000 (Apple OMP),1993/8/1,1993.583333,8,14,14,Apple,Apple Inc,10
Apple Newton MessagePad 100,1993/8/1,1993.583333,9,0.000274667,0.0000645,0.009548354,0.251798561,0.056910569,0.150793651,0.294133697,0.554098361,0.083386786,0.076654605,0.075431034,0.08859162,Apple Newton MessagePad 100,1993/8/1,1993.583333,9,14,14,Apple,Apple Inc,10
Hewlett-Packard 1000CX 2MB RAM,1994/1/1,1994,10,0.000946074,0.0000154,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421,Hewlett-Packard 1000CX 2MB RAM,1994/1/1,1994,10,77,77,Hewlett-Packard,Hewlett-Packard,58
Hewlett-Packard 100LX 2MB RAM (HP Cougar),1994/2/1,1994.083333,11,0.000946074,0.0000154,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421,Hewlett-Packard 100LX 2MB RAM (HP Cougar),1994/2/1,1994.083333,11,77,77,Hewlett-Packard,Hewlett-Packard,58
Apple Newton MessagePad 110 (Apple Lindy),1994/3/1,1994.166667,12,0.000457778,0.0000645,0.009548354,0.201438849,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.112198276,0.110802625,Apple Newton MessagePad 110 (Apple Lindy),1994/3/1,1994.166667,12,14,14,Apple,Apple Inc,10
Apple Newton MessagePad 120,1994/10/1,1994.75,13,0.000946074,0.0000645,0.009548354,0.215827338,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.084825431,0.101716305,Apple Newton MessagePad 120,1994/10/1,1994.75,13,14,14,Apple,Apple Inc,10
Hewlett-Packard OmniGo 100,1995/10/1,1995.75,14,0.000457778,0.0000481,0.007547442,0.143884892,0.056910569,0.103174603,0.396998636,0.18852459,0.108402822,0.061666274,0.057974138,0.116860172,Hewlett-Packard OmniGo 100,1995/10/1,1995.75,14,77,77,Hewlett-Packard,Hewlett-Packard,58
Apple Newton MessagePad 120 8MB,1995/11/1,1995.833333,15,0.000946074,0.000130058,0.009548354,0.215827338,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.084825431,0.101716305,Apple Newton MessagePad 120 8MB,1995/11/1,1995.833333,15,14,14,Apple,Apple Inc,10
Hewlett-Packard 200LX (HP Felix),1996/1/1,1996,16,0.000946074,0.0000481,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.054310345,0.224886421,Hewlett-Packard 200LX (HP Felix),1996/1/1,1996,16,77,77,Hewlett-Packard,Hewlett-Packard,58
Hewlett-Packard OmniGo 700LX Communicator Plus,1996/2/1,1996.083333,17,0.000946074,0.0000481,0.003500596,0.244604317,0.219512195,0.103174603,0.492496589,0.155737705,0.326491341,0.189109907,0.07262931,0.224886421,Hewlett-Packard OmniGo 700LX Communicator Plus,1996/2/1,1996.083333,17,77,77,Hewlett-Packard,Hewlett-Packard,58
Apple Newton MessagePad 130,1996/3/1,1996.166667,18,0.001190222,0.000130058,0.009548354,0.215827338,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.090517241,0.101716305,Apple Newton MessagePad 130,1996/3/1,1996.166667,18,14,14,Apple,Apple Inc,10
U.S. Robotics Palm Pilot 1000,1996/6/1,1996.416667,19,0.0000305,0.00000717,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,U.S. Robotics Palm Pilot 1000,1996/6/1,1996.416667,19,190,190,U.S.,Palm,102
U.S. Robotics Palm Pilot 5000,1996/6/1,1996.416667,20,0.00021363,0.00000717,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,U.S. Robotics Palm Pilot 5000,1996/6/1,1996.416667,20,190,190,U.S.,Palm,102
Nokia 9000 Communicator,1996/8/1,1996.583333,21,0.001922666,0.0000645,0.011549266,0.201438849,0.219512195,0.083333333,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931,0.261736497,Nokia 9000 Communicator,1996/8/1,1996.583333,21,122,122,Nokia,Nokia Corporation,92
Hewlett-Packard OmniGo 120 Organizer Plus,1996/9/1,1996.666667,22,0.000946074,0.0000481,0.007547442,0.143884892,0.056910569,0.103174603,0.396998636,0.18852459,0.108402822,0.061666274,0.057974138,0.116860172,Hewlett-Packard OmniGo 120 Organizer Plus,1996/9/1,1996.666667,22,77,77,Hewlett-Packard,Hewlett-Packard,58
