,Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch),Company,Company_real
0,Psion Organiser II LZ 64,1989-01-01,1989,1,0.0,0.0,0.0,0.050359712,0.0,0.0,0.369713506,0.118852459,0.146889031,0.059332377,0.044181034,0.0,Psion,Zebra Technologies
1,Hewlett-Packard 95LX (HP Jaguar),1991-04-01,1991,2,0.00021363,1.54e-05,0.002230017,0.223021583,0.056910569,0.047619048,0.416098226,0.147540984,0.127645927,0.065798771,0.05387931,0.030792529,Hewlett-Packard,Hewlett-Packard
2,Psion Series 3,1991-06-01,1991,3,9.16e-05,1.54e-05,0.001894864,0.18705036,0.056910569,0.023809524,0.432469304,0.147540984,0.101988454,0.056634477,0.044181034,0.035335689,Psion,Zebra Technologies
3,Hewlett-Packard 95LX 1MB RAM (HP Jaguar),1992-01-01,1992,4,0.000457778,1.54e-05,0.002230017,0.223021583,0.056910569,0.047619048,0.416098226,0.147540984,0.127645927,0.065798771,0.05387931,0.030792529,Hewlett-Packard,Hewlett-Packard
4,Psion Series 3a,1993-03-01,1993,5,0.00021363,1.54e-05,0.003385544,0.258992806,0.154471545,0.063492063,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207,0.129984856,Psion,Zebra Technologies
5,Hewlett-Packard 1000CX,1993-05-01,1993,6,0.000457778,1.54e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421,Hewlett-Packard,Hewlett-Packard
6,Hewlett-Packard 100LX (HP Cougar),1993-05-01,1993,7,0.000457778,1.54e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421,Hewlett-Packard,Hewlett-Packard
7,Apple Newton H1000 (Apple OMP),1993-08-01,1993,8,0.000274667,6.45e-05,0.009548354,0.251798561,0.056910569,0.150793651,0.294133697,0.554098361,0.083386786,0.076654605,0.075431034,0.08859162,Apple,Apple Inc
8,Apple Newton MessagePad 100,1993-08-01,1993,9,0.000274667,6.45e-05,0.009548354,0.251798561,0.056910569,0.150793651,0.294133697,0.554098361,0.083386786,0.076654605,0.075431034,0.08859162,Apple,Apple Inc
9,Hewlett-Packard 1000CX 2MB RAM,1994-01-01,1994,10,0.000946074,1.54e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421,Hewlett-Packard,Hewlett-Packard
10,Hewlett-Packard 100LX 2MB RAM (HP Cougar),1994-02-01,1994,11,0.000946074,1.54e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.060344828,0.224886421,Hewlett-Packard,Hewlett-Packard
11,Apple Newton MessagePad 110 (Apple Lindy),1994-03-01,1994,12,0.000457778,6.45e-05,0.009548354,0.201438849,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.112198276,0.110802625,Apple,Apple Inc
12,Apple Newton MessagePad 120,1994-10-01,1994,13,0.000946074,6.45e-05,0.009548354,0.215827338,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.084825431,0.101716305,Apple,Apple Inc
13,Hewlett-Packard OmniGo 100,1995-10-01,1995,14,0.000457778,4.81e-05,0.007547442,0.143884892,0.056910569,0.103174603,0.396998636,0.18852459,0.108402822,0.061666274,0.057974138,0.116860172,Hewlett-Packard,Hewlett-Packard
14,Apple Newton MessagePad 120 8MB,1995-11-01,1995,15,0.000946074,0.000130058,0.009548354,0.215827338,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.084825431,0.101716305,Apple,Apple Inc
15,Hewlett-Packard 200LX (HP Felix),1996-01-01,1996,16,0.000946074,4.81e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.054310345,0.224886421,Hewlett-Packard,Hewlett-Packard
16,Hewlett-Packard OmniGo 700LX Communicator Plus,1996-02-01,1996,17,0.000946074,4.81e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.492496589,0.155737705,0.326491341,0.189109907,0.07262931,0.224886421,Hewlett-Packard,Hewlett-Packard
17,Apple Newton MessagePad 130,1996-03-01,1996,18,0.001190222,0.000130058,0.009548354,0.215827338,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.090517241,0.101716305,Apple,Apple Inc
18,U.S. Robotics Palm Pilot 1000,1996-06-01,1996,19,3.05e-05,7.17e-06,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,U.S.,Palm
19,U.S. Robotics Palm Pilot 5000,1996-06-01,1996,20,0.00021363,7.17e-06,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,U.S.,Palm
20,Nokia 9000 Communicator,1996-08-01,1996,21,0.001922666,6.45e-05,0.011549266,0.201438849,0.219512195,0.083333333,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931,0.261736497,Nokia,Nokia Corporation
21,Hewlett-Packard OmniGo 120 Organizer Plus,1996-09-01,1996,22,0.000946074,4.81e-05,0.007547442,0.143884892,0.056910569,0.103174603,0.396998636,0.18852459,0.108402822,0.061666274,0.057974138,0.116860172,Hewlett-Packard,Hewlett-Packard
22,Psion Series 3c,1996-09-01,1996,23,0.000946074,1.54e-05,0.003385544,0.258992806,0.154471545,0.063492063,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207,0.129984856,Psion,Zebra Technologies
