,year,company,num
0,1989,Zebra Technologies,1
1,1991,Hewlett-Packard,1
2,1992,Hewlett-Packard,1
3,1993,Hewlett-Packard,2
4,1994,Hewlett-Packard,2
5,1995,Hewlett-Packard,1
6,1996,Hewlett-Packard,5
7,1997,Hewlett-Packard,4
8,1998,Sharp Corporation,5
9,1999,Hewlett-Packard,8
10,2000,Casio,5
11,2001,Sony Corporation,5
12,2002,Sony Corporation,10
13,2003,HTC,11
14,2004,HTC,24
15,2005,HTC,31
16,2006,HTC,53
17,2007,HTC,51
18,2008,HTC,32
19,2009,HTC,34
20,2010,Samsung,37
21,2011,Samsung,86
22,2012,Samsung,114
