,year,company,times
0,1989,Zebra Technologies,1
1,1991,Hewlett-Packard,1
2,1992,Hewlett-Packard,1
3,1993,Hewlett-Packard,2
4,1994,Hewlett-Packard,2
5,1995,Apple Inc,1
6,1996,Nokia Corporation,1
7,1997,Hewlett-Packard,1
8,1998,LG Electronics,1
9,1999,NEC Corporationæ,2
10,2000,Casio,4
11,2001,AboCom Systems,1
12,2002,Zebra Technologies,1
13,2003,HTC,2
14,2004,HTC,6
15,2005,HTC,4
16,2006,Roper Technologies,6
17,2007,Zebra Technologies,4
18,2008,HTC,4
19,2009,HTC,2
20,2010,Anydata Corporation,2
21,2011,Samsung,37
22,2012,Samsung,35
